käsite;käsitesuhde;lähikäsite
vastakkainen;yläkäsite;lehtiasento
vastakkainen;;vuorottainen
vastakkainen;;kierteinen
vastakkainen;;lehtiasento
vastakkainen;yläkäsite;kiehkurainen
vastakkainen;yläkäsite;ristikkäinen
vastakolmiomainen;yläkäsite;lehtilavan muoto
vastakolmiomainen;vieruskäsite;kolmiomainen
vastapuikea;yläkäsite;lehtilavan muoto
vastapuikea;vieruskäsite;puikea
venho;yläkäsite;terälehti
venho;koostumussuhteinen yläkäsite;teriö
venho;vieruskäsite;siivet
venho;vieruskäsite;purje
venho;;perhomainen
verhiö;koostumussuhteinen yläkäsite;kehä
verhiö;koostumussuhteinen yläkäsite;kehä
verhiö;koostumussuhteinen vieruskäsite;teriö
