termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
spredt;kierteinen (lehtiasento);=;tanska;;;;;;
skruestillet;kierteinen (lehtiasento);=;tanska;;;;;;
alternerende;kierteinen (lehtiasento);=;norja;;;;;;
skruestilt;kierteinen (lehtiasento);=;norja;;;;;;
alternate;kierteinen (lehtiasento);<;englanti;;;;;;
spiral;kierteinen (lehtiasento);=;englanti;;;;;;
strödda;kierteinen (lehtiasento);=;ruotsi;;;;;;
strödda blad;kierteinen (lehtiasento);=;ruotsi;;;;;;
spiralställda;kierteinen (lehtiasento);=;ruotsi;;;;;;
kiilamainen;kiilamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
fleyglaga;kiilamainen;=;islanti;;;;;;
kílavaksin;kiilamainen;=;fääri;;;;;;
viggvaksin;kiilamainen;=;fääri;;;;;;
kileformet;kiilamainen;=;tanska;;;;;;
kileformet;kiilamainen;=;norja;;;;;;
wedge-shaped;kiilamainen;=;englanti;;;;;;
kilformad;kiilamainen;=;ruotsi;;;;;;
kileforming;kiilamainen;=;ruotsi;;;;;;
kiilatyvinen;kiilatyvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fleyglaga;kiilatyvinen;=;islanti;;;;;;
kílavaksin;kiilatyvinen;=;fääri;;;;;;
kileformet;kiilatyvinen;=;tanska;;;;;;
kileformet;kiilatyvinen;=;norja;;;;;;
cuneate;kiilatyvinen;=;englanti;;;;;;
killik;kiilatyvinen;=;ruotsi;;;;;;
kilpimäinen (lehti);kilpimäinen (lehti);;suomi;adjektiivi;yhdistämätön;;-mAinen;;
peltaattinen;kilpimäinen (lehti);;suomi;adjektiivi;yhdistämätön;;-ttinen;;
skjaldlaga;kilpimäinen (lehti);=;islanti;;;;;;
skjaldvaksin;kilpimäinen (lehti);=;fääri;;;;;;
skjoldformet;kilpimäinen (lehti);=;tanska;;;;;;
skjoldformet;kilpimäinen (lehti);=;norja;;;;;;
peltate;kilpimäinen (lehti);=;englanti;;;;;;
sköldlik;kilpimäinen (lehti);=;ruotsi;;;;;;
sköldlikt;kilpimäinen (lehti);=;ruotsi;;;;;;
kolmeen kertaan kolmisorminen;kolmeen kertaan kolmisorminen;;suomi;adjektiivi;sanaliitto;;-inen;;
triternate;kolmeen kertaan kolmisorminen;=;englanti;;;;;;
tre gånger trefingrad;kolmeen kertaan kolmisorminen;=;ruotsi;;;;;;
kolmeen kertaan parilehdykkäinen;kolmeen kertaan parilehdykkäinen;;suomi;adjektiivi;sanaliitto;;-kkAinen;;
tripinnate;kolmeen kertaan parilehdykkäinen;=;englanti;;;;;;
tre gånger parflikig;kolmeen kertaan parilehdykkäinen;=;ruotsi;;;;;;
kolmilehdykkäinen;kolmilehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
trifoliolate;kolmilehdykkäinen;=;englanti;;;;;;
trefingrad;kolmilehdykkäinen;=;ruotsi;;;;;;
kolmiomainen;kolmiomainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
ßríhyrnulaga;kolmiomainen;=;islanti;;;;;;
þríhyrndur;kolmiomainen;=;islanti;;;;;;
tríhyrntur;kolmiomainen;=;fääri;;;;;;
triangulær;kolmiomainen;=;tanska;;;;;;
trekantet;kolmiomainen;=;tanska;;;;;;
triagulær;kolmiomainen;=;norja;;;;;;
trekantet;kolmiomainen;=;norja;;;;;;
triangular;kolmiomainen;=;englanti;;;;;;
deltoid;kolmiomainen;=;englanti;;;;;;
triangulär;kolmiomainen;=;ruotsi;;;;;;
trekantig;kolmiomainen;=;ruotsi;;;;;;
korkosuoninen;korkosuoninen;;suomi;adjektiivi;yhdyssana;;-inen;;
prominently veined;korkosuoninen;=;englanti;;;;;;
korvake;korvake;;suomi;substantiivi;yhdistämätön;;-ke;;
axlablað;korvake;=;islanti;;;;;;
akslarblað;korvake;=;fääri;;;;;;
fodflig;korvake;=;tanska;;;;;;
akselblad;korvake;=;tanska;;;;;;
øreblad;korvake;=;norja;;;;;;
stipule;korvake;=;englanti;;;;;;
stipel;korvake;=;ruotsi;;;;;;
korvaketuppi;korvaketuppi;;suomi;substantiivi;yhdyssana;;;;
axlaslídur;korvaketuppi;=;islanti;;;;;;
akslaslíðri;korvaketuppi;=;fääri;;;;;;
