termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
kransstillet;kiehkurainen;=;tanska;;;;;;
kransstilt;kiehkurainen;=;norja;;;;;;
verticillate;kiehkurainen;=;englanti;;;;;;
whorled;kiehkurainen;=;englanti;;;;;;
whorled. -Cf. Whorl. -fig.p.245. / luonnos: kranssittande;kiehkurainen;=;ruotsi;;;;;;
kransställd;kiehkurainen;=;ruotsi;;;;;;
vastasahainen;vastasahainen;;suomi;adjektiivi;yhdyssana;;-inen;ehdotettu;
vastosahainen;vastasahainen;;suomi;adjektiivi;yhdyssana;;-inen;vanhentunut;
retroserratus;vastasahainen;=;englanti;;;;;;
omvändt sågad;vastasahainen;=;ruotsi;;;;;;
kylkilehti;kylkilehti;;suomi;substantiivi;yhdyssana;;;;
lateral leaf;kylkilehti;=;englanti;;;;;;
lateral leaves;kylkilehti;=;englanti;;;;;;
peitinsuomu;peitinsuomu;;suomi;substantiivi;yhdyssana;;;;
nystysahainen;nystysahainen;;suomi;adjektiivi;yhdyssana;;-inen;;
lehtialaindeksi;lehtialaindeksi;;suomi;substantiivi;yhdyssana;;;;
LAI;lehtialaindeksi;;suomi;substantiivi;lyhenne;;;;
leaf area index;lehtialaindeksi;=;englanti;;;;;;
LAI;lehtialaindeksi;=;englanti;;;;;;
lehtiaukko;lehtiaukko;;suomi;substantiivi;yhdyssana;;;;
leaf gap;lehtiaukko;=;englanti;;;;;;
kynnellinen;kynnellinen;;suomi;;;;;;
klófættur;kynnellinen;=;islanti;;;;;;
við nagli;kynnellinen;=;fääri;;;;;;
med negl;kynnellinen;=;tanska;;;;;;
mad kloformet basis;kynnellinen;=;norja;;;;;;
unguiculate;kynnellinen;=;englanti;;;;;;
med kloklik bas;kynnellinen;=;ruotsi;;;;;;
pikkuitiöpesäkelehti;pikkuitiöpesäkelehti;;suomi;substantiivi;yhdyssana;;;;
mikrosporofylli;pikkuitiöpesäkelehti;;suomi;substantiivi;yhdyssana;;;;
microsporophyll;pikkuitiöpesäkelehti;=;englanti;;;;;;
sivusuoni;sivusuoni;;suomi;substantiivi;yhdyssana;;;;
pohjaluku;pohjaluku;;suomi;substantiivi;yhdyssana;;;;
base number;pohjaluku;=;englanti;;;;;;
